Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
team-logan-since-day-one-tote-bag,Team Logan Since Day One — Canvas Tote Bag,"<p>You decided a long time ago. <strong>Team Logan.</strong> No debates, no switching sides — since day one and that's final. Heavy-duty canvas tote for carrying your books, snacks, and team pride everywhere you go.</p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,team logan,logan,character merch",TRUE,Title,Default Title,TEAM-LOGAN-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/team-logan-tote.jpg,1,Team Logan Since Day One — Canvas Tote Bag,FALSE,Team Logan Since Day One — Canvas Tote Bag | G'day Mate Co,Team Logan Since Day One  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.,active
team-logan-since-day-one-mug,Team Logan Since Day One — 11oz Mug,<p>Start every morning on the right team. <strong>Team Logan Since Day One</strong> — your loyalties are locked in and they need to see it on your desk.</p><p><strong>Product details:</strong> 11oz ceramic mug. Dishwasher and microwave safe. Screen-printed design on both sides.</p>,G'day Mate Co,Mug,"off-campus,off campus,hockey romance,booktok,bookish merch,mug,coffee mug,gift for reader,gift for bookworm,team logan,logan,character merch",TRUE,Title,Default Title,TEAM-LOGAN-MUG,350,shopify,100,continue,manual,29.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/team-logan-mug.jpg,1,Team Logan Since Day One — 11oz Mug,FALSE,Team Logan Since Day One — 11oz Mug | G'day Mate Co,"Team Logan Since Day One  11oz Mug. Off Campus inspired bookish merch. 11oz ceramic mug, dishwasher safe.",active
puck-bunny-society-tote-bag,Puck Bunny Society — Canvas Tote Bag,"<p>Official card-carrying member of the <strong>Puck Bunny Society EST. 2026.</strong> You show up to every game, know every player's number, and absolutely don't apologise for it. Fill in your member-since date and wear the badge with pride.</p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,puck bunny,hockey fan,member since",TRUE,Title,Default Title,PUCK-BUNNY-SOCIETY-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/puck-bunny-society-tote.jpg,1,Puck Bunny Society — Canvas Tote Bag,FALSE,Puck Bunny Society — Canvas Tote Bag | G'day Mate Co,Puck Bunny Society  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.,active
puck-bunny-society-mug,Puck Bunny Society — 11oz Mug,<p><strong>Puck Bunny Society EST. 2026 —</strong> your membership is confirmed. Fill in the Member Since line and drink your morning coffee like the devoted fan you are.</p><p><strong>Product details:</strong> 11oz ceramic mug. Dishwasher and microwave safe. Screen-printed design on both sides.</p>,G'day Mate Co,Mug,"off-campus,off campus,hockey romance,booktok,bookish merch,mug,coffee mug,gift for reader,gift for bookworm,puck bunny,hockey fan,member since",TRUE,Title,Default Title,PUCK-BUNNY-SOCIETY-MUG,350,shopify,100,continue,manual,29.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/puck-bunny-society-mug.jpg,1,Puck Bunny Society — 11oz Mug,FALSE,Puck Bunny Society — 11oz Mug | G'day Mate Co,"Puck Bunny Society  11oz Mug. Off Campus inspired bookish merch. 11oz ceramic mug, dishwasher safe.",active
professional-boy-aquarium-visitor-tote-bag,Professional Boy Aquarium Visitor — Canvas Tote Bag,"<p>Certified. Professional. <strong>Boy Aquarium Visitor EST. 2026.</strong> Whether you're watching from the stands or re-reading the same chapter for the fifth time, you take your research very seriously.</p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,boy aquarium,funny,hockey romance humour",TRUE,Title,Default Title,BOY-AQUARIUM-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/boy-aquarium-tote.jpg,1,Professional Boy Aquarium Visitor — Canvas Tote Bag,FALSE,Professional Boy Aquarium Visitor — Canvas Tote Bag | G'day Mate Co,Professional Boy Aquarium Visitor  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.,active
professional-boy-aquarium-visitor-mug,Professional Boy Aquarium Visitor — 11oz Mug,<p>Your credentials: <strong>Professional Boy Aquarium Visitor EST. 2026.</strong> Use this mug while conducting important field research (aka reading hockey romance in bed).</p><p><strong>Product details:</strong> 11oz ceramic mug. Dishwasher and microwave safe. Screen-printed design on both sides.</p>,G'day Mate Co,Mug,"off-campus,off campus,hockey romance,booktok,bookish merch,mug,coffee mug,gift for reader,gift for bookworm,boy aquarium,funny,hockey romance humour",TRUE,Title,Default Title,BOY-AQUARIUM-MUG,350,shopify,100,continue,manual,29.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/boy-aquarium-mug.jpg,1,Professional Boy Aquarium Visitor — 11oz Mug,FALSE,Professional Boy Aquarium Visitor — 11oz Mug | G'day Mate Co,"Professional Boy Aquarium Visitor  11oz Mug. Off Campus inspired bookish merch. 11oz ceramic mug, dishwasher safe.",active
briar-u-hockey-tote-bag,Briar U Hockey — Canvas Tote Bag,"<p>Rep the campus. <strong>Briar U Hockey EST. 2026</strong> — where the drama is constant, the boys are competitive, and the romance is completely unexpected. Collegiate crest design on heavyweight canvas.</p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,briar u,briar university,elle kennedy,campus romance",TRUE,Title,Default Title,BRIAR-U-HOCKEY-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/briar-u-hockey-tote.jpg,1,Briar U Hockey — Canvas Tote Bag,FALSE,Briar U Hockey — Canvas Tote Bag | G'day Mate Co,Briar U Hockey  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.,active
briar-u-hockey-mug,Briar U Hockey — 11oz Mug,"<p><strong>Briar U Hockey EST. 2026.</strong> Drink your coffee like a Briar U student: strong, under pressure, and probably thinking about a hockey player.</p><p><strong>Product details:</strong> 11oz ceramic mug. Dishwasher and microwave safe. Screen-printed design on both sides.</p>",G'day Mate Co,Mug,"off-campus,off campus,hockey romance,booktok,bookish merch,mug,coffee mug,gift for reader,gift for bookworm,briar u,briar university,elle kennedy,campus romance",TRUE,Title,Default Title,BRIAR-U-HOCKEY-MUG,350,shopify,100,continue,manual,29.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/briar-u-hockey-mug.jpg,1,Briar U Hockey — 11oz Mug,FALSE,Briar U Hockey — 11oz Mug | G'day Mate Co,"Briar U Hockey  11oz Mug. Off Campus inspired bookish merch. 11oz ceramic mug, dishwasher safe.",active
future-mrs-graham-team-garrett-tote-bag,Future Mrs. Graham — Team Garrett — Canvas Tote Bag,"<p>It's not delusional, it's a plan. <strong>Future Mrs. Graham — Team Garrett.</strong> The only team that matters. Canvas tote for the girl who has already decided.</p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,future mrs,graham,garrett,team garrett,character merch",TRUE,Title,Default Title,FUTURE-MRS-GRAHAM-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/future-mrs-graham-tote.jpg,1,Future Mrs. Graham — Team Garrett — Canvas Tote Bag,FALSE,Future Mrs. Graham — Team Garrett — Canvas Tote Bag | G'day Mate Co,Future Mrs. Graham  Team Garrett  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.,active
future-mrs-graham-team-garrett-mug,Future Mrs. Graham — Team Garrett — 11oz Mug,<p><strong>Future Mrs. Graham — Team Garrett.</strong> Sip your coffee and manifest. The mug already believes in you.</p><p><strong>Product details:</strong> 11oz ceramic mug. Dishwasher and microwave safe. Screen-printed design on both sides.</p>,G'day Mate Co,Mug,"off-campus,off campus,hockey romance,booktok,bookish merch,mug,coffee mug,gift for reader,gift for bookworm,future mrs,graham,garrett,team garrett,character merch",TRUE,Title,Default Title,FUTURE-MRS-GRAHAM-MUG,350,shopify,100,continue,manual,29.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/future-mrs-graham-mug.jpg,1,Future Mrs. Graham — Team Garrett — 11oz Mug,FALSE,Future Mrs. Graham — Team Garrett — 11oz Mug | G'day Mate Co,"Future Mrs. Graham  Team Garrett  11oz Mug. Off Campus inspired bookish merch. 11oz ceramic mug, dishwasher safe.",active
hockey-romance-department-tote-bag,Hockey Romance Department — Canvas Tote Bag,"<p>You're not just a fan — you're an employee. <strong>Head of the Hockey Romance Department EST. 2026,</strong> responsible for reading every hockey romance ever written and staying up until 3am because of it.</p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,hockey romance department,est 2026,department merch",TRUE,Title,Default Title,HOCKEY-ROMANCE-DEPT-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/hockey-romance-dept-tote.jpg,1,Hockey Romance Department — Canvas Tote Bag,FALSE,Hockey Romance Department — Canvas Tote Bag | G'day Mate Co,Hockey Romance Department  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.,active
hockey-romance-department-mug,Hockey Romance Department — 11oz Mug,<p><strong>Hockey Romance Department EST. 2026.</strong> Your office mug. Your department. Your slightly unhinged reading schedule.</p><p><strong>Product details:</strong> 11oz ceramic mug. Dishwasher and microwave safe. Screen-printed design on both sides.</p>,G'day Mate Co,Mug,"off-campus,off campus,hockey romance,booktok,bookish merch,mug,coffee mug,gift for reader,gift for bookworm,hockey romance department,est 2026,department merch",TRUE,Title,Default Title,HOCKEY-ROMANCE-DEPT-MUG,350,shopify,100,continue,manual,29.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/hockey-romance-dept-mug.jpg,1,Hockey Romance Department — 11oz Mug,FALSE,Hockey Romance Department — 11oz Mug | G'day Mate Co,"Hockey Romance Department  11oz Mug. Off Campus inspired bookish merch. 11oz ceramic mug, dishwasher safe.",active
jlo-maverick-endgame-tote-bag,JLO ♥ Maverick — Endgame — Canvas Tote Bag,"<p><strong>JLO ♥ Maverick. Endgame. Always.</strong> Carry your loyalty with you, because the heart wants what it wants — and it wants Maverick. Simple design, strong conviction.</p><p><strong>Product details:</strong> Heavyweight 100% cotton canvas tote bag with reinforced handles. Screen-printed design. One size. Interior capacity fits a 13&quot; laptop, books, and daily essentials.</p>",G'day Mate Co,Canvas Tote Bag,"off-campus,off campus,hockey romance,booktok,bookish merch,tote bag,canvas tote,gift for reader,gift for bookworm,jlo,maverick,jlo maverick,ship,endgame,character merch",TRUE,Title,Default Title,JLO-MAVERICK-ENDGAME-TOTE,200,shopify,100,continue,manual,39.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/jlo-maverick-endgame-tote.jpg,1,JLO ♥ Maverick — Endgame — Canvas Tote Bag,FALSE,JLO ♥ Maverick — Endgame — Canvas Tote Bag | G'day Mate Co,JLO ♥ Maverick  Endgame  Canvas Tote Bag. Off Campus inspired bookish merch. Heavyweight canvas tote bag.,active
jlo-maverick-endgame-mug,JLO ♥ Maverick — Endgame — 11oz Mug,<p><strong>JLO ♥ Maverick — Endgame.</strong> Every morning coffee is a reminder: this ship is sailing and it's not stopping.</p><p><strong>Product details:</strong> 11oz ceramic mug. Dishwasher and microwave safe. Screen-printed design on both sides.</p>,G'day Mate Co,Mug,"off-campus,off campus,hockey romance,booktok,bookish merch,mug,coffee mug,gift for reader,gift for bookworm,jlo,maverick,jlo maverick,ship,endgame,character merch",TRUE,Title,Default Title,JLO-MAVERICK-ENDGAME-MUG,350,shopify,100,continue,manual,29.95,,TRUE,TRUE,https://cdn.jsdelivr.net/gh/ishanvishwa/gday-off-campus-assets@1a437c50c0771dcaac6fe769b99fbf6f53dbb6f8/jlo-maverick-endgame-mug.jpg,1,JLO ♥ Maverick — Endgame — 11oz Mug,FALSE,JLO ♥ Maverick — Endgame — 11oz Mug | G'day Mate Co,"JLO ♥ Maverick  Endgame  11oz Mug. Off Campus inspired bookish merch. 11oz ceramic mug, dishwasher safe.",active
